species	chrom	avg_slope_loglog
Edisa	scaffold_13	-0.5813910332910167
Edisa	scaffold_14	-0.5213410139481076
Edisa	scaffold_15	-0.5068590611815358
Edisa	scaffold_16	-0.41176650461718123
Edisa	scaffold_17	-0.522188356632611
Edisa	scaffold_18	-0.5308976327565742
Edisa	scaffold_19	-0.4045407396016693
Edisa	scaffold_2	-0.6341678851100506
Edisa	scaffold_20	-0.43946604201776
Edisa	scaffold_21	-0.4477859079743788
Edisa	scaffold_22	-0.5906762037684898
Edisa	scaffold_23	-0.40990345789734606
Edisa	scaffold_24	-0.36227777776582054
Edisa	scaffold_25	-0.27374631453008164
Edisa	scaffold_26	-0.5239190223591528
Edisa	scaffold_27	-0.4914017307365129
Edisa	scaffold_28	-0.0807051415887505
Edisa	scaffold_29	-0.6139207912686239
Edisa	scaffold_3	-0.6669677707718082
Edisa	scaffold_4	-0.6364140003159575
Edisa	scaffold_5	-0.6201418938971702
Edisa	scaffold_6	-0.6171132862999468
Edisa	scaffold_7	-0.5947758567672113
Edisa	scaffold_8	-0.5607901156236067
Edisa	scaffold_9	-0.5558396623499335
Eembla	scaffold_1	-0.5872579093569275
Eembla	scaffold_10	-0.4838093698627451
Eembla	scaffold_11	-0.5303993051461781
Eembla	scaffold_12	-0.5389787624361121
Eembla	scaffold_13	-0.4953180740755781
Eembla	scaffold_14	-0.4953194394684945
Eembla	scaffold_15	-0.45937774568934836
Eembla	scaffold_16	-0.40399308304426307
Eembla	scaffold_17	-0.43204368364866624
Eembla	scaffold_18	-0.44299865117164555
Eembla	scaffold_19	-0.5133468026365849
Eembla	scaffold_2	-0.5453237650099444
Eembla	scaffold_20	-0.43842638616858143
Eembla	scaffold_21	-0.4663553345596945
Eembla	scaffold_22	-0.421704611938269
Eembla	scaffold_23	-0.5561627588305856
Eembla	scaffold_24	-0.360092583278684
Eembla	scaffold_25	-0.24255379870158722
Eembla	scaffold_26	-0.4934237911738865
Eembla	scaffold_27	-0.5588932112419122
Eembla	scaffold_28	-0.08051555993314607
Eembla	scaffold_29	-0.6798316024717557
Eembla	scaffold_3	-0.5665442754088944
Eembla	scaffold_4	-0.5750821226865667
Eembla	scaffold_5	-0.583386929885662
Eembla	scaffold_6	-0.5465301904478584
Eembla	scaffold_7	-0.518756075890581
Eembla	scaffold_8	-0.5959153716778359
Eembla	scaffold_9	-0.5040497207205837
Eepiphron	scaffold_1	-1.0782575735695554
Eepiphron	scaffold_10	-1.0530908360939328
Eepiphron	scaffold_11	-1.059993683194903
Eepiphron	scaffold_12	-0.8756676909812395
Eepiphron	scaffold_13	-0.8193888066346852
